nct_id,brief_title,lead_sponsor,enrollment,last_update_date,issue_id,rule_id,issue_description,priority,detected_date,issue_status,days_since_update
NCT01574053,Enroll -HD: A Prospective Registry Study in a Global Huntington's Disease Cohort,"CHDI Foundation, Inc.",35000,2024-02-28,DQ003-NCT01574053,DQ003,Recruiting study has not been updated for 910 days,HIGH,2026-08-26,OPEN,910
NCT04914507,A Prospective Analysis of Long-Term Clinical Outcomes and 3D Spine Growth in Anterior Vertebral Body Tethering,Pediatric Spine Foundation,106,2023-11-15,DQ003-NCT04914507,DQ003,Recruiting study has not been updated for 1015 days,HIGH,2026-08-26,OPEN,1015
NCT02781883,Clinical Trial of BP1001 in Combination With With Venetoclax Plus Decitabine in AML,"Bio-Path Holdings, Inc.",108,2025-03-07,DQ003-NCT02781883,DQ003,Recruiting study has not been updated for 537 days,MEDIUM,2026-08-26,OPEN,537
NCT03266653,EBV-specific Cytotoxic T-lymphocytes (CTLs) for Refractory EBV Infection,New York Medical College,20,2025-08-08,DQ003-NCT03266653,DQ003,Recruiting study has not been updated for 383 days,MEDIUM,2026-08-26,OPEN,383
NCT03860883,Melanoma Margins Trial-II: 1cm v 2cm Wide Surgical Excision Margins for AJCC Stage II Primary Cutaneous Melanoma,Melanoma and Skin Cancer Trials Limited,2998,2024-11-27,DQ003-NCT03860883,DQ003,Recruiting study has not been updated for 637 days,MEDIUM,2026-08-26,OPEN,637
NCT04994015,Parkinson's Foundation PD GENEration Genetic Registry,Parkinson's Foundation,25000,2025-05-21,DQ003-NCT04994015,DQ003,Recruiting study has not been updated for 462 days,MEDIUM,2026-08-26,OPEN,462
NCT05500170,Benefits of Nicotinamide Riboside Upon Cognition and Sleep,State University of New York at Buffalo,50,2025-08-22,DQ003-NCT05500170,DQ003,Recruiting study has not been updated for 369 days,MEDIUM,2026-08-26,OPEN,369
NCT06952517,Efficacy and Safety of Topical Clascoterone (WINLEVI) Cream 1% in Patients With Facial Acneiform Rosacea,Narrows Institute for Biomedical Research,20,2025-05-06,DQ003-NCT06952517,DQ003,Recruiting study has not been updated for 477 days,MEDIUM,2026-08-26,OPEN,477
NCT07133984,STICH3C Cardiac Magnetic Resonance Observational Study,Weill Medical College of Cornell University,200,2025-08-21,DQ003-NCT07133984,DQ003,Recruiting study has not been updated for 370 days,MEDIUM,2026-08-26,OPEN,370
