nct_id,brief_title,overall_status,lead_sponsor,enrollment,last_update_date
NCT04165109,Trial-Ready Cohort-Down Syndrome (TRC-DS),RECRUITING,University of Southern California,550,2026-05-18
NCT07160244,BEATRIX: A Study to Learn About a Group B Streptococcus Vaccine in Healthy Pregnant Women and Their Babies,RECRUITING,Pfizer,6000,2026-08-24
NCT06876649,A Master Protocol to Evaluate the Long-Term Safety of (LY3527727) Pirtobrutinib,RECRUITING,Eli Lilly and Company,787,2026-03-02
NCT07178210,Robotic-Enabled Microsurgical Intervention for Neurodegenerative Disease,RECRUITING,"MMI (Medical Microinstruments, Inc.)",15,2026-08-24
NCT03334708,A Study of Blood Based Biomarkers for Pancreas Adenocarcinoma,RECRUITING,Memorial Sloan Kettering Cancer Center,120,2026-08-14
NCT07518186,A Study Comparing JNJ-79635322 and Teclistamab in Participants With Relapsed or Refractory Multiple Myeloma,RECRUITING,"Janssen Research & Development, LLC",700,2026-07-31
NCT05500170,Benefits of Nicotinamide Riboside Upon Cognition and Sleep,RECRUITING,State University of New York at Buffalo,50,2025-08-22
NCT04166409,A Study of the Drugs Selumetinib vs. Carboplatin and Vincristine in Patients With Low-Grade Glioma,RECRUITING,National Cancer Institute (NCI),170,2026-08-24
NCT07177352,Screening Study to Determine Individuals With Potential Trial Eligibility for Alzheimer's Disease Studies,RECRUITING,Hoffmann-La Roche,80000,2026-08-21
NCT06263426,Kidney Transplantation From Donors With HIV: Impact on Rejection and Long-Term Outcomes (Expanding HOPE Kidney),RECRUITING,Johns Hopkins University,200,2026-06-22
NCT05885698,MYLUNG Consortium Part 3: Observational Study,RECRUITING,US Oncology Research,7500,2026-05-18
NCT07114601,A Study of LY4257496 in Participants With Cancer (OMNIRAY),RECRUITING,Eli Lilly and Company,421,2026-08-21
NCT05112601,Testing Nivolumab With or Without Ipilimumab in Deficient Mismatch Repair System (dMMR) Recurrent Endometrial Carcinoma,RECRUITING,National Cancer Institute (NCI),81,2026-08-24
NCT07089576,Clinical Study to Evaluate the Safety and Effectiveness of Arcevo LSA,RECRUITING,Artivion Inc.,132,2026-07-10
NCT06952517,Efficacy and Safety of Topical Clascoterone (WINLEVI) Cream 1% in Patients With Facial Acneiform Rosacea,RECRUITING,Narrows Institute for Biomedical Research,20,2025-05-06
NCT05099003,A Study of the Drug Selinexor With Radiation Therapy in Patients With Newly-Diagnosed Diffuse Intrinsic Pontine (DIPG) Glioma and High-Grade Glioma (HGG),RECRUITING,National Cancer Institute (NCI),132,2026-08-25
NCT03266653,EBV-specific Cytotoxic T-lymphocytes (CTLs) for Refractory EBV Infection,RECRUITING,New York Medical College,20,2025-08-08
NCT04323748,Dose Dense Rituximab for High Risk Newly Diagnosed Acute Immune Thrombocytopenic Purpura,RECRUITING,New York Medical College,20,2026-04-15
NCT05612347,Colonoscopy vs Stool Testing for Older Adults With Colon Polyps,RECRUITING,Dartmouth-Hitchcock Medical Center,8946,2026-08-13
NCT06055608,Advancing Transplantation Outcomes in Children,RECRUITING,National Institute of Allergy and Infectious Diseases (NIAID),200,2026-05-20
NCT06875960,A Study to Continue the Administration of Deucravacitinib in Participants With Systemic Lupus Erythematosus (SLE) or Discoid and/or Subacute Cutaneous Lupus Erythematosus (DLE/SCLE) Who Have Completed Study IM011074 or Study IM011132,RECRUITING,Bristol-Myers Squibb,35,2026-03-30
NCT04181060,Osimertinib With or Without Bevacizumab as Initial Treatment for Patients With EGFR-Mutant Lung Cancer,RECRUITING,National Cancer Institute (NCI),300,2026-08-25
NCT04485559,Trametinib and Everolimus for Treatment of Pediatric and Young Adult Patients With Recurrent Gliomas (PNOC021),RECRUITING,"University of California, San Francisco",50,2026-08-18
NCT06772623,"Study to Evaluate Adverse Events and Efficacy of Intravenous (IV) Telisotuzumab Adizutecan in Combination With a PD-1 Immune Checkpoint Inhibitor in Adult Participants With Advanced or Metastatic Non-Squamous NSCLC With No Prior Treatment for Advanced Disease, and No Actionable Genomic Alterations",RECRUITING,AbbVie,252,2026-08-14
NCT04293562,A Study to Compare Standard Chemotherapy to Therapy With CPX-351 and/or Gilteritinib for Patients With Newly Diagnosed AML With or Without FLT3 Mutations,RECRUITING,Children's Oncology Group,1186,2026-07-29
NCT06136559,A Study of Nemtabrutinib (MK-1026) Versus Comparator (Investigator's Choice of Ibrutinib or Acalabrutinib) in First Line (1L) Chronic Lymphocytic Leukemia (CLL)/ Small Lymphocytic Lymphoma (SLL) (MK-1026-011/BELLWAVE-011),RECRUITING,Merck Sharp & Dohme LLC,1200,2026-08-07
