nct_id,brief_title,overall_status,lead_sponsor,enrollment,last_update_date,days_since_update
NCT03860883,Melanoma Margins Trial-II: 1cm v 2cm Wide Surgical Excision Margins for AJCC Stage II Primary Cutaneous Melanoma,RECRUITING,Melanoma and Skin Cancer Trials Limited,2998,2024-11-27,637
NCT01574053,Enroll -HD: A Prospective Registry Study in a Global Huntington's Disease Cohort,RECRUITING,"CHDI Foundation, Inc.",35000,2024-02-28,910
NCT04994015,Parkinson's Foundation PD GENEration Genetic Registry,RECRUITING,Parkinson's Foundation,25000,2025-05-21,462
NCT05500170,Benefits of Nicotinamide Riboside Upon Cognition and Sleep,RECRUITING,State University of New York at Buffalo,50,2025-08-22,369
NCT06952517,Efficacy and Safety of Topical Clascoterone (WINLEVI) Cream 1% in Patients With Facial Acneiform Rosacea,RECRUITING,Narrows Institute for Biomedical Research,20,2025-05-06,477
NCT03266653,EBV-specific Cytotoxic T-lymphocytes (CTLs) for Refractory EBV Infection,RECRUITING,New York Medical College,20,2025-08-08,383
NCT02781883,Clinical Trial of BP1001 in Combination With With Venetoclax Plus Decitabine in AML,RECRUITING,"Bio-Path Holdings, Inc.",108,2025-03-07,537
NCT07133984,STICH3C Cardiac Magnetic Resonance Observational Study,RECRUITING,Weill Medical College of Cornell University,200,2025-08-21,370
NCT04914507,A Prospective Analysis of Long-Term Clinical Outcomes and 3D Spine Growth in Anterior Vertebral Body Tethering,RECRUITING,Pediatric Spine Foundation,106,2023-11-15,1015
